"","Character"
"114","Dumbledore's Army"
"115","Goyle"
"116","Death Eater"
"117","Gregory Goyle"
"118","Slytherin"
"119","Hermione Granger"
"120","Gryffindor"
"121","Eastern European"
"122","Fenrir Greyback"
"123","Gellert Grindelwald"
"124","Wilhelmina Grubbly-Plank"
"125","Rubeus Hagrid"
"126","Rolanda Hooch"
"127","Mafalda Hopkirk"
"128","Angelina Johnson"
"129","Lee Jordan"
"130","Igor Karkaroff"
"131","Durmstrang"
"132","Viktor Krum"
"133","Bulgarian"
"134","Triwizard Tournament"
"135","Silvanus Kettleburn"
"136","Bellatrix Lestrange"
"137","Sirius Black"
"138","Molly Weasley"
"139","Rabastan Lestrange"
"140","Rodolphus Lestrange"
"141","Gilderoy Lockhart"
"142","Defence Against the Dark Arts"
"143","St. Mungo's"
"144","Alice and Frank Longbottom"
"145","Augusta Longbottom"
"146","Neville Longbottom"
"147","Dumbledore's Army"
"148","Luna Lovegood"
"149","Newt Scamander"
"150","Xenophilius Lovegood"
"151","The Quibbler"
"152","Remus Lupin"
"153","Gryffindor"
"154","Nymphadora Tonks"
"155","Battle of Hogwarts"
"156","Teddy Lupin"
"157","Walden Macnair"
"158","Death Eater"
"159","Draco Malfoy"
"160","Slytherin"
"161","Lucius Malfoy"
"162","Narcissa Malfoy"
"163","Diagon Alley"
"164","Olympe Maxime"
"165","Ernie Macmillan"
"166","Hufflepuff"
"167","Minerva McGonagall"
"168","Horace Slughorn"
"169","Vanishing Cabinet"
"170","Alastor (Mad-Eye) Moody"
"171","Auror"
"172","Barty Crouch Jr."
"173","Gaunt family"
"174","Wizengamot"
"175","Muggle"
"176","Garrick Ollivander"
"177","Ollivanders"
"178","Pansy Parkinson"
"179","Slytherin"
"180","Inquisitorial Squad"
"181","Padma Patil"
"182","Ravenclaw"
"183","Parvati Patil"
"184","Gryffindor"
"185","Peter Pettigrew"
"186","Antioch, Cadmus, and Ignotus Peverell"
"187","Elder Wand"
"188","Resurrection Stone"
"189","Invisibility Cloak"
"190","Irma Pince"
"191","Sturgis Podmore"
"192","Poppy Pomfrey"
"193","Harry Potter"
"194","James Potter"
"195","Lily Potter"
"196","Quirinus Quirrell"
"197","Helena Ravenclaw/The Grey Lady"
"198","Lord Voldemort"
"199","Merope Gaunt"
"200","Augustus Rookwood"
"201","Thorfinn Rowle"
"202","Albert Runcorn"
"203","Newt Scamander"
"204","Fantastic Beasts and Where to Find Them"
"205","Fantastic Beasts"
"206","Rufus Scrimgeour"
"207","Cornelius Fudge"
"208","Kingsley Shacklebolt"
"209","Auror"
"210","Pius Thicknesse"
"211","Stan Shunpike"
"212","Aurora Sinistra"
"213","Rita Skeeter"
"214","Daily Prophet"
"215","Horace Slughorn"
"216","Zacharias Smith"
"217","Hufflepuff"
"218","Dumbledore's Army"
"219","Severus Snape"
"220","Defence Against the Dark Arts"
"221","Alicia Spinnet"
"222","Pomona Sprout"
"223","Herbology"
"224","Pius Thicknesse"
"225","Dean Thomas"
"226","Gryffindor"
"227","Dumbledore's Army"
"228","Andromeda Tonks"
"229","Nymphadora Tonks"
"230","Ted Tonks"
"231","Sybill Trelawney"
"232","Wilkie Twycross"
"233","Dolores Umbridge"
"234","Emmeline Vance"
"235","Septima Vector"
"236","Arithmancy"
"237","Lord Voldemort"
"238","Myrtle Warren"
"239","Ravenclaw"
"240","Arthur Weasley"
"241","Ministry of Magic"
"242","Bill Weasley"
"243","Gringotts"
"244","Fleur Delacour"
"245","Charlie Weasley"
"246","Romania"
"247","Fred Weasley"
"248","George Weasley"
"249","Ginny Weasley"
"250","Molly Weasley"
"251","Percy Weasley"
"252","Ministry of Magic"
"253","Ron Weasley"
"254","Oliver Wood"
"255","Corban Yaxley"
"256","Death Eater"
"257","Slytherin"
"258","Aragog"
"259","Rubeus Hagrid"
"260","Bane"
"261","Beedle the Bard"
"262","fairy tales"
"263","The Bloody Baron"
"264","Slytherin"
"265","Gringotts"
"266","Buckbeak"
"267","Hippogriff"
"268","Sirius Black"
"269","Harry Potter"
"270","Crookshanks"
"271","Hermione Granger"
"272","Dobby"
"273","House-elf"
"274","Malfoy family"
"275","Errol"
"276","Owl"
"277","Weasley family"
"278","Fang"
"279","boarhound"
"280","The Fat Friar"
"281","Hufflepuff"
"282","The Fat Lady"
"283","Fawkes"
"284","Phoenix"
"285","Chamber of Secrets"
"286","Firenze"
"287","Fluffy"
"288","Three-headed dog"
"289","Gringotts"
"290","Dean Thomas"
"291","Ted Tonks"
"292","Dirk Cresswell"
"293","Grawp"
"294","Griphook"
"295","Hedwig"
"296","Hokey"
"297","Black family"
"298","Narcissa Malfoy"
"299","Bellatrix Lestrange"
"300","Draco Malfoy"
"301","Harry"
"302","Magorian"
"303","Great Aunt Muriel"
"304","Nagini"
"305","Horcruxes"
"306","Neville Longbottom"
"307","Battle of Hogwarts"
"308","Nearly Headless Nick"
"309","Gryffindor"
"310","Norbert"
"311","Peeves"
"312","poltergeist"
"313","Pigwidgeon"
"314","Madam Rosmerta"
"315","The Three Broomsticks"
"316","Hogsmeade"
"317","Ronan"
"318","Scabbers"
"319","Peter Pettigrew"
"320","Death Eater"
"321","Azkaban"
"322","Lord Voldemort"
"323","Barty Crouch Sr"
"324","Wizards and Witches A to Z"
"325","Harry Potter Lexicon"
