"","Character"
"1","Hufflepuff"
"2","Harry Potter"
"3","Dumbledore's Army"
"4","Ludo Bagman"
"5","Department of Magical Games and Sports"
"6","Ministry of Magic"
"7","Bathilda Bagshot"
"8","Gellert Grindelwald"
"9","Katie Bell"
"10","Gryffindor"
"11","Quidditch"
"12","Dumbledore's Army"
"13","Cuthbert Binns"
"14","Phineas Nigellus Black"
"15","Hogwarts"
"16","Sirius Black"
"17","Azkaban"
"18","Order of the Phoenix"
"19","Bellatrix Lestrange"
"20","Amelia Bones"
"21","Department of Magical Law Enforcement"
"22","Lord Voldemort"
"23","Susan Bones"
"24","Terry Boot"
"25","Ravenclaw"
"26","Lavender Brown"
"27","Battle of Hogwarts"
"28","Slytherin"
"29","Dolores Umbridge"
"30","Charity Burbage"
"31","Muggle Studies"
"32","Frank Bryce"
"33","Muggle"
"34","Riddle family"
"35","Alecto Carrow"
"36","Death Eater"
"37","Hogwarts"
"38","Severus Snape"
"39","Amycus Carrow"
"40","Defence Against the Dark Arts"
"41","Reginald Cattermole"
"42","Ministry of Magic"
"43","Ron Weasley"
"44","Cho Chang"
"45","Ravenclaw"
"46","Quidditch"
"47","Dumbledore's Army"
"48","Percy Weasley"
"49","Tom Riddle"
"50","Michael Corner"
"51","Crabbe"
"52","Death Eater"
"53","Vincent Crabbe"
"54","Slytherin"
"55","Inquisitorial Squad"
"56","Colin Creevey"
"57","Gryffindor"
"58","Dumbledore's Army"
"59","Dennis Creevey"
"60","Dumbledore's Army"
"61","Dirk Cresswell"
"62","Goblin Liaison Office"
"63","Ted Tonks"
"64","Dean Thomas"
"65","Griphook"
"66","Barty Crouch Sr"
"67","Department of International Magical Cooperation"
"68","Barty Crouch Jr"
"69","Polyjuice Potion"
"70","Alastor Moody"
"71","Dementor's Kiss"
"72","John Dawlish"
"73","Auror"
"74","Fleur Delacour"
"75","Triwizard Tournament"
"76","Beauxbatons"
"77","Bill Weasley"
"78","Gabrielle Delacour"
"79","Dedalus Diggle"
"80","Order of the Phoenix"
"81","Amos Diggory"
"82","Cedric Diggory"
"83","Hufflepuff"
"84","Elphias Doge"
"85","Antonin Dolohov"
"86","Fabian Prewett"
"87","Gideon Prewett"
"88","Remus Lupin"
"89","Aberforth Dumbledore"
"90","Hog's Head"
"91","Albus Dumbledore"
"92","Ariana Dumbledore"
"93","Dudley Dursley"
"94","Marge Dursley"
"95","Petunia Dursley"
"96","Vernon Dursley"
"97","Marietta Edgecombe"
"98","Dolores Umbridge"
"99","Arabella Figg"
"100","Order of the Phoenix"
"101","Argus Filch"
"102","Justin Finch-Fletchley"
"103","Seamus Finnigan"
"104","Quidditch"
"105","Mundungus Fletcher"
"106","Filius Flitwick"
"107","Ravenclaw"
"108","Florean Fortescue"
"109","Diagon Alley"
"110","Cornelius Fudge"
"111","Marvolo Gaunt"
"112","Anthony Goldstein"
"113","Ravenclaw"
