Character,Character_regex
Dirk Cresswell,Dirk Cresswell
Grawp,Grawp
Griphook,Griphook
Hedwig,Hedwig
Hokey,Hokey
Black family,Black family
Narcissa Malfoy,Narcissa Malfoy
Bellatrix Lestrange,Bellatrix Lestrange
Draco Malfoy,Draco Malfoy
Harry,Harry
Magorian,Magorian
Great Aunt Muriel,Great Aunt Muriel
Nagini,Nagini
Horcruxes,Horcruxes
Neville Longbottom,Neville Longbottom
Battle of Hogwarts,Battle of Hogwarts
Nearly Headless Nick,Nearly Headless Nick
Gryffindor,Gryffindor
Norbert,Norbert
Peeves,Peeves
poltergeist,poltergeist
Pigwidgeon,Pigwidgeon
Madam Rosmerta,Madam Rosmerta
The Three Broomsticks,The Three Broomsticks
Hogsmeade,Hogsmeade
Ronan,Ronan
Scabbers,Scabbers
Peter Pettigrew,Peter Pettigrew
Death Eater,Death Eater
Azkaban,Azkaban
Lord Voldemort,Lord Voldemort
Barty Crouch Sr,Barty Crouch Sr
Wizards and Witches A to Z,Wizards and Witches A to Z
Harry Potter Lexicon,Harry Potter Lexicon
