Character,Character_regex
Hufflepuff,Hufflepuff
Harry Potter,(Harry|Potter)
Dumbledore's Army,Dumbledore's Army
Ludo Bagman,(Ludo|Bagman)
Department of Magical Games and Sports,Department of Magical Games and Sports
Ministry of Magic,Ministry of Magic
Bathilda Bagshot,(Bathilda|Bagshot)
Gellert Grindelwald,(Gellert|Grindelwald)
Katie Bell,Katie Bell
Gryffindor,Gryffindor
Quidditch,Quidditch
Dumbledore's Army,Dumbledore's Army
Cuthbert Binns,Cuthbert Binns
Phineas Nigellus Black,Phineas Nigellus Black
Hogwarts,Hogwarts
Sirius Black,Sirius Black
Azkaban,Azkaban
Order of the Phoenix,Order of the Phoenix
Bellatrix Lestrange,Bellatrix Lestrange
Amelia Bones,Amelia Bones
Department of Magical Law Enforcement,Department of Magical Law Enforcement
Lord Voldemort,Lord Voldemort
Susan Bones,Susan Bones
Terry Boot,Terry Boot
Ravenclaw,Ravenclaw
Lavender Brown,Lavender Brown
Battle of Hogwarts,Battle of Hogwarts
Slytherin,Slytherin
Dolores Umbridge,Dolores Umbridge
Charity Burbage,Charity Burbage
Muggle Studies,Muggle Studies
Frank Bryce,Frank Bryce
Muggle,Muggle
Riddle family,Riddle family
Alecto Carrow,Alecto Carrow
Death Eater,Death Eater
Hogwarts,Hogwarts
Severus Snape,Severus Snape
Amycus Carrow,Amycus Carrow
Defence Against the Dark Arts,Defence Against the Dark Arts
Reginald Cattermole,Reginald Cattermole
Ministry of Magic,Ministry of Magic
Ron Weasley,Ron Weasley
Cho Chang,Cho Chang
Ravenclaw,Ravenclaw
Quidditch,Quidditch
Dumbledore's Army,Dumbledore's Army
Percy Weasley,Percy Weasley
Tom Riddle,Tom Riddle
Michael Corner,Michael Corner
Crabbe,Crabbe
Death Eater,Death Eater
Vincent Crabbe,Vincent Crabbe
Slytherin,Slytherin
Inquisitorial Squad,Inquisitorial Squad
Colin Creevey,Colin Creevey
Gryffindor,Gryffindor
Dumbledore's Army,Dumbledore's Army
Dennis Creevey,Dennis Creevey
Dumbledore's Army,Dumbledore's Army
Dirk Cresswell,Dirk Cresswell
Goblin Liaison Office,Goblin Liaison Office
Ted Tonks,Ted Tonks
Dean Thomas,Dean Thomas
Griphook,Griphook
Barty Crouch Sr,Barty Crouch Sr
Department of International Magical Cooperation,Department of International Magical Cooperation
Barty Crouch Jr,Barty Crouch Jr
Polyjuice Potion,Polyjuice Potion
Alastor Moody,Alastor Moody
Dementor's Kiss,Dementor's Kiss
John Dawlish,John Dawlish
Auror,Auror
Fleur Delacour,Fleur Delacour
Triwizard Tournament,Triwizard Tournament
Beauxbatons,Beauxbatons
Bill Weasley,Bill Weasley
Gabrielle Delacour,Gabrielle Delacour
Dedalus Diggle,Dedalus Diggle
Order of the Phoenix,Order of the Phoenix
Amos Diggory,Amos Diggory
Cedric Diggory,Cedric Diggory
Hufflepuff,Hufflepuff
Elphias Doge,Elphias Doge
Antonin Dolohov,Antonin Dolohov
Fabian Prewett,Fabian Prewett
Gideon Prewett,Gideon Prewett
Remus Lupin,Remus Lupin
Aberforth Dumbledore,Aberforth Dumbledore
Hog's Head,Hog's Head
Albus Dumbledore,Albus Dumbledore
Ariana Dumbledore,Ariana Dumbledore
Dudley Dursley,Dudley Dursley
Marge Dursley,Marge Dursley
Petunia Dursley,Petunia Dursley
Vernon Dursley,Vernon Dursley
Marietta Edgecombe,Marietta Edgecombe
Dolores Umbridge,Dolores Umbridge
Arabella Figg,Arabella Figg
Order of the Phoenix,Order of the Phoenix
Argus Filch,Argus Filch
Justin Finch-Fletchley,Justin Finch-Fletchley
Seamus Finnigan,Seamus Finnigan
Quidditch,Quidditch
Mundungus Fletcher,Mundungus Fletcher
Filius Flitwick,Filius Flitwick
Ravenclaw,Ravenclaw
Florean Fortescue,Florean Fortescue
Diagon Alley,Diagon Alley
Cornelius Fudge,Cornelius Fudge
Marvolo Gaunt,Marvolo Gaunt
Anthony Goldstein,Anthony Goldstein
Ravenclaw,Ravenclaw
Dumbledore's Army,Dumbledore's Army
Goyle,Goyle
Death Eater,Death Eater
Gregory Goyle,Gregory Goyle
Slytherin,Slytherin
Hermione Granger,Hermione Granger
Gryffindor,Gryffindor
Eastern European,Eastern European
Fenrir Greyback,Fenrir Greyback
Gellert Grindelwald,Gellert Grindelwald
Wilhelmina Grubbly-Plank,Wilhelmina Grubbly-Plank
Rubeus Hagrid,Rubeus Hagrid
Rolanda Hooch,Rolanda Hooch
Mafalda Hopkirk,Mafalda Hopkirk
Angelina Johnson,Angelina Johnson
Lee Jordan,Lee Jordan
Igor Karkaroff,Igor Karkaroff
Durmstrang,Durmstrang
Viktor Krum,Viktor Krum
Bulgarian,Bulgarian
Triwizard Tournament,Triwizard Tournament
Silvanus Kettleburn,Silvanus Kettleburn
Bellatrix Lestrange,Bellatrix Lestrange
Sirius Black,Sirius Black
Molly Weasley,Molly Weasley
Rabastan Lestrange,Rabastan Lestrange
Rodolphus Lestrange,Rodolphus Lestrange
Gilderoy Lockhart,Gilderoy Lockhart
Defence Against the Dark Arts,Defence Against the Dark Arts
St. Mungo's,St. Mungo's
Alice and Frank Longbottom,Alice and Frank Longbottom
Augusta Longbottom,Augusta Longbottom
Neville Longbottom,Neville Longbottom
Dumbledore's Army,Dumbledore's Army
Luna Lovegood,Luna Lovegood
Newt Scamander,Newt Scamander
Xenophilius Lovegood,Xenophilius Lovegood
The Quibbler,The Quibbler
Remus Lupin,Remus Lupin
Gryffindor,Gryffindor
Nymphadora Tonks,Nymphadora Tonks
Battle of Hogwarts,Battle of Hogwarts
Teddy Lupin,Teddy Lupin
Walden Macnair,Walden Macnair
Death Eater,Death Eater
Draco Malfoy,Draco Malfoy
Slytherin,Slytherin
Lucius Malfoy,Lucius Malfoy
Narcissa Malfoy,Narcissa Malfoy
Diagon Alley,Diagon Alley
Olympe Maxime,Olympe Maxime
Ernie Macmillan,Ernie Macmillan
Hufflepuff,Hufflepuff
Minerva McGonagall,Minerva McGonagall
Horace Slughorn,Horace Slughorn
Vanishing Cabinet,Vanishing Cabinet
Alastor (Mad-Eye) Moody,Alastor (Mad-Eye) Moody
Auror,Auror
Barty Crouch Jr.,Barty Crouch Jr.
Gaunt family,Gaunt family
Wizengamot,Wizengamot
Muggle,Muggle
Garrick Ollivander,Garrick Ollivander
Ollivanders,Ollivanders
Pansy Parkinson,Pansy Parkinson
Slytherin,Slytherin
Inquisitorial Squad,Inquisitorial Squad
Padma Patil,Padma Patil
Ravenclaw,Ravenclaw
Parvati Patil,Parvati Patil
Gryffindor,Gryffindor
Peter Pettigrew,Peter Pettigrew
"Antioch, Cadmus, and Ignotus Peverell","Antioch, Cadmus, and Ignotus Peverell"
Elder Wand,Elder Wand
Resurrection Stone,Resurrection Stone
Invisibility Cloak,Invisibility Cloak
Irma Pince,Irma Pince
Sturgis Podmore,Sturgis Podmore
Poppy Pomfrey,Poppy Pomfrey
Harry Potter,Harry Potter
James Potter,James Potter
Lily Potter,Lily Potter
Quirinus Quirrell,Quirinus Quirrell
Helena Ravenclaw/The Grey Lady,Helena Ravenclaw/The Grey Lady
Lord Voldemort,Lord Voldemort
Merope Gaunt,Merope Gaunt
Augustus Rookwood,Augustus Rookwood
Thorfinn Rowle,Thorfinn Rowle
Albert Runcorn,Albert Runcorn
Newt Scamander,Newt Scamander
Fantastic Beasts and Where to Find Them,Fantastic Beasts and Where to Find Them
Fantastic Beasts,Fantastic Beasts
Rufus Scrimgeour,Rufus Scrimgeour
Cornelius Fudge,Cornelius Fudge
Kingsley Shacklebolt,Kingsley Shacklebolt
Auror,Auror
Pius Thicknesse,Pius Thicknesse
Stan Shunpike,Stan Shunpike
Aurora Sinistra,Aurora Sinistra
Rita Skeeter,Rita Skeeter
Daily Prophet,Daily Prophet
Horace Slughorn,Horace Slughorn
Zacharias Smith,Zacharias Smith
Hufflepuff,Hufflepuff
Dumbledore's Army,Dumbledore's Army
Severus Snape,Severus Snape
Defence Against the Dark Arts,Defence Against the Dark Arts
Alicia Spinnet,Alicia Spinnet
Pomona Sprout,Pomona Sprout
Herbology,Herbology
Pius Thicknesse,Pius Thicknesse
Dean Thomas,Dean Thomas
Gryffindor,Gryffindor
Dumbledore's Army,Dumbledore's Army
Andromeda Tonks,Andromeda Tonks
Nymphadora Tonks,Nymphadora Tonks
Ted Tonks,Ted Tonks
Sybill Trelawney,Sybill Trelawney
Wilkie Twycross,Wilkie Twycross
Dolores Umbridge,Dolores Umbridge
Emmeline Vance,Emmeline Vance
Septima Vector,Septima Vector
Arithmancy,Arithmancy
Lord Voldemort,Lord Voldemort
Myrtle Warren,Myrtle Warren
Ravenclaw,Ravenclaw
Arthur Weasley,Arthur Weasley
Ministry of Magic,Ministry of Magic
Bill Weasley,Bill Weasley
Gringotts,Gringotts
Fleur Delacour,Fleur Delacour
Charlie Weasley,(Charlie|Weasley)
Romania,Romania
Fred Weasley,(Fred|Weasley)
George Weasley,(George|Weasley)
Ginny Weasley,Ginny Weasley
Molly Weasley,Molly Weasley
Percy Weasley,Percy Weasley
Ministry of Magic,Ministry of Magic
Ron Weasley,(Ron|Weasley)
Oliver Wood,Oliver Wood
Corban Yaxley,Corban Yaxley
Death Eater,Death Eater
Slytherin,Slytherin
Aragog,Aragog
Rubeus Hagrid,Rubeus Hagrid
Bane,Bane
Beedle the Bard,Beedle the Bard
fairy tales,fairy tales
The Bloody Baron,The Bloody Baron
Slytherin,Slytherin
Gringotts,Gringotts
Buckbeak,Buckbeak
Hippogriff,Hippogriff
Sirius Black,Sirius Black
Harry Potter,(Harry|Potter)
Crookshanks,Crookshanks
Hermione Granger,(Hermione|Granger)
Dobby,Dobby
House-elf,House-elf
Malfoy family,Malfoy family
Errol,Errol
Owl,Owl
Weasley family,Weasley family
Fang,Fang
boarhound,boarhound
The Fat Friar,The Fat Friar
Hufflepuff,Hufflepuff
The Fat Lady,The Fat Lady
Fawkes,Fawkes
Phoenix,Phoenix
Chamber of Secrets,Chamber of Secrets
Firenze,Firenze
Fluffy,Fluffy
Three-headed dog,Three-headed dog
Gringotts,Gringotts
Dean Thomas,Dean Thomas
Ted Tonks,Ted Tonks
